year,hydroelectric,biomass,geothermal,wind,solar
1950,101,0,0,0,0
1951,104,0,0,0,0
1952,110,0,0,0,0
1953,110,0,0,0,0
1954,112,0,0,0,0
1955,116,0,0,0,0
1956,125,0,0,0,0
1957,133,0,0,0,0
1958,144,0,0,0,0
1959,141,0,0,0,0
1960,149,0,0,0,0
1961,156,0,0,0,0
1962,172,0,0,0,0
1963,169,0,0,0,0
1964,180,0,0,0,0
1965,197,0,0,0,0
1966,198,0,0,0,0
1967,225,0,0,0,0
1968,226,0,0,0,0
1969,253,0,1,0,0
1970,251,0,1,0,0
1971,270,0,1,0,0
1972,276,0,1,0,0
1973,275,0,2,0,0
1974,304,0,2,0,0
1975,303,0,3,0,0
1976,287,0,4,0,0
1977,224,0,4,0,0
1978,283,0,3,0,0
1979,283,0,4,0,0
1980,279,0,5,0,0
1981,264,0,6,0,0
1982,312,0,5,0,0
1983,335,0,6,0,0
1984,324,1,8,0,0
1985,284,1,9,0,0
1986,294,1,10,0,0
1987,253,1,11,0,0
1988,226,2,10,0,0
1989,272,36,15,2,0
1990,293,46,15,3,0
1991,289,49,16,3,0
1992,253,54,16,3,0
1993,280,56,17,3,0
1994,260,57,16,3,0
1995,311,57,13,3,0
1996,347,58,14,3,1
1997,356,59,15,3,1
1998,323,59,15,3,1
1999,320,60,15,4,0
2000,276,61,14,6,0
2001,217,50,14,7,1
2002,264,54,14,10,1
2003,276,53,14,11,1
2004,268,54,15,14,1
2005,270,54,15,18,1
2006,289,55,15,27,1
2007,248,56,15,34,1
2008,255,55,15,55,1
2009,273,54,15,74,1
2010,260,56,15,95,1
2011,319,57,15,120,2
2012,276,58,16,141,4
2013,269,61,16,168,9
2014,259,64,16,182,18
2015,249,64,16,191,25
2016,268,63,16,227,36
2017,300,63,16,254,53
2018,293,62,16,273,64
2019,288,58,15,296,72
2020,285,55,16,338,89
2021,252,54,16,378,115
2022,255,52,16,434,144
2023,240,47,16,425,165
